Name,Real name,Aliases,Universe,Alignment,Gender,Affiliations,Relatives,Creators,First appearance,Year
Ninja-D,Unknown,,Valiant Entertainment,Neutral,Male,MI-6Ninja ProgrammeAcclimation Bureau,,Matt Kindt (Mentioned only)Christos Gage (First App.)Tomas Giorello (First App.),"Ninjak (Volume 3) #0(September, 2017)",2017
Ninja-E,Unknown,SightsNinja-E,Valiant Entertainment,Neutral,Male,MI-6Ninja Programme,,Matt Kindt (Mentioned only)Christos Gage (First App.)Tomas Giorello (First App.),"Ninja-K #1(November, 2017)",2017
Ninja-F,Raleigh Brewster,The UndiscipleNinja-F,Valiant Entertainment,Neutral,Male,MI-6Ninja Programme,,Matt Kindt (Mentioned only)Christos Gage (First App.)Tomas Giorello (First App.),"Ninja-K #1(November, 2017)",2017
Ninja-G,"Desdemona ""Mona"" Rush",BlindsideNinja-G,Valiant Entertainment,Neutral,Female,MI-6Ninja Programme,Devotchka \ (love interest),Matt Kindt (Mentioned only)Khari Evans (Design)Christos Gage (First App.)Tomas Giorello (First App.),"Ninja-K #1(November, 2017)",2017
Ninja-H,Unknown,,Valiant Entertainment,Neutral,Male,MI-6Ninja Programme,,Matt KindtChristos Gage,"Ninjak (Volume 3) #1 (March, 2015)",2015
Ninja-I,Brenda Li,SnapdragonNinja-I,Valiant Entertainment,Neutral,Female,MI-6Ninja Programme,,Matt Kindt (Mentioned only)Khari Evans (Design)Christos Gage (First App.)Tomas Giorello (First App.),"Ninja-K #1(November, 2017)",2017
Ninja-J,Roger Thorpe,CarapaceNinja-J,Valiant Entertainment,Neutral,Male,MI-6Ninja Programme,,Matt Kindt (Mentioned only)A.J. Jothikumar (Design)B. Clay Moore (First App.)Fernando Dagnino (First App.),"Killers #1(July, 2019)",2019
Ninja-L,Unknown,,Valiant Entertainment,Neutral,Male,MI-6Ninja Programme,,Matt KindtTrevor Hairsine,"Divinity II #2(May, 2016)",2016
Ninjak,Colin King,NinjakNinja-KAgent KColin OujaHenry CollinsJohn Prose,Valiant Entertainment,Good,Male,MI-6Ninja ProgrammeShadow SevenUnity(all four formerly),Margaret King (mother)Mr. King (foster father)Alain (father)Angelina Alcott (love interest),Mark Moretti (original)Joe Quesada (original)Robert Venditti (reboot)Lee Garbett (reboot),"Original: Bloodshot  #6 (July, 1993)Reboot: X-O Manowar (Volume 3) #5 (September, 2012)",2012
Noah,Noah,,Real WorldValiant Entertainment,Neutral,Male,,Canaan (grandson),Fred Van LenteDarick Robertson,"Armstrong and the Vault of Spirits  #1 (February, 2018)",2018
Noah,Noah,,Valiant Entertainment,Good,Male,,,Dan AbnettAdam Pollina,"Fallen World  #1(May, 2019)",2019
Nora Dupre,Nora Dupre,,Valiant Entertainment,Neutral,Female,,Charlene Dupre (daughter),Joshua Dysart,"Harbinger (Volume 2) #7 (December, 2012)",2012
Nuckelavee,Nuckelavee,Nuckalavee,Real WorldValiant Entertainment,Bad,,,,Fred Van LenteCary Nord,"Immortal Brothers: The Tale of the Green Knight #1 (April, 2017)",2017
Nudist Cowboy,Nudist Cowboy,Naked Cowboy,Real WorldValiant Entertainment,Neutral,Male,,,Fred Van LenteClayton Henry,"Archer & Armstrong (Volume 2) #1 (August, 2012)",2012
Archer,"Obadiah ""Obie"" Archer",Prodigal,Valiant Entertainment,Good,Male,Archer & ArmstrongThe Dominion (formerly)The Sect (formerly),Charles Archer (Birth father)Marcie Archer (Birth mother)Joseph Archer (Adoptive father)Thelma Archer (Adoptive mother)Mary-Maria Archer (Adoptive sister),Jim Shooter (original)Bob Layton (original)Barry Windsor-Smith (original)Fred Van Lente (reboot)Clayton Henry (reboot),"Original: Archer & Armstrong  #0 (February, 1992)Reboot: Archer & Armstrong (Volume 2) #1 (August, 2012)",2012
Obadiah Archer,Obadiah Archer,Archer,Valiant High,Good,Male,Valiant High,,Daniel KibblesmithDerek CharmOriginal:Jim ShooterBob LaytonBarry Windsor-Smith,"Valiant High #1(February, 2017)",2017
Olga Strauss,Olga Strauss,,Valiant Entertainment,Neutral,Female,Project Rising Spirit,,Kevin GreviouxKen Lashley,"Bloodshot Rising Spirit  #1(November, 2018)",2018
Oliver Dumpbucket,Oliver Dumpbucket,Doom Bouquet,Valiant Entertainment,Bad,Male,,,Rafer RobertsDavid Lafuente,"A&A: The Adventures of Archer & Armstrong #2 (April, 2016)",2016
Orchid,Kiki,Orchid,Valiant Entertainment,Neutral,Female,Foundation ZoneHarbinger Foundation,,Joshua DysartRafa Sandoval,"Harbinger: Omegas  #2(September, 2014)",2014
Orkus,Orkus,Orcus,Real WorldValiant Entertainment,Bad,Male,Deadside,,,"Britannia  #1(September, 2016)",2016
Orta'Ka,Orta'Ka,,Valiant Entertainment,Neutral,Male,Kor'Tunga Clans,,Dan AbnettAdam PollinaA.J. Jothikumar (Char. Designs),"Fallen World  #3(July, 2019)",2019
Osiris,Osiris,,Real WorldValiant Entertainment,Neutral,Male,,Isis (wife),,"Doctor Mirage #5(December, 2019)",2019
Owen Cho,Owen Cho,,Valiant Entertainment,Good,Male,Secret Weapons,Daniel (cousin),Eric HeissererRaul AllenPatricia Martin,"Secret Weapons (Volume 2) #1(June, 2017)",2017
Padda,Padda,,Valiant Entertainment,Good,Male,Nergal,Nergal,Fred Van LenteJuan Jose Ryp,"Book of Death: Legends of the Geomancer #1 (July, 2015)",2015
Paige,Unknown,,Valiant Entertainment,Good,Female,Zipline,,Jody Houser,"Faith #1 (January, 2016)",2016
Paige Stewart,Paige Stewart,,Valiant Entertainment,Neutral,Female,,,Tini HowardAmilcar Pinna,"The Forgotten Queen  #1(February, 2019)",2019
Pale Herder,Pale Herder,,Valiant Entertainment,Bad,Male,,,Robert VendittiRobert Gill,"Wrath of the Eternal Warrior  #12 (October, 2016)",2016
The Pallbearer,Unknown,The Pallbearer,Valiant Entertainment,Bad,Male,,,Cullen BunnJon Davis-Hunt,"Shadowman (Volume 6) #3 (June, 2021)",2021
Pan de Santos,Pan de Santos,Pan,Valiant Entertainment,Bad,Nonbinary,Harbinger Foundation (formerly),,Vita AyalaRaul AllenPatricia Martin,"Livewire #2(January, 2019)",2019
Panic,Unknown,,Valiant Entertainment,Bad,Male,EggbreakersHarbinger Foundation,,Christos GageJoshua DysartEmanuela Lupacchino,"Bloodshot and H.A.R.D. Corps  #15 (October, 2013)",2013
Patrick Clement,Patrick Clement,,Valiant Entertainment,Bad,Male,MI-6Vine PlantingThe Vine,,Robert VendittiCary Nord,"X-O Manowar (Volume 3) #4(August, 2012)",2012
Pendragon,Pendragon,King UtherUther Pendragon,Real WorldValiant Entertainment,Neutral,Male,,King Arthur (son),Fred Van Lente,"Archer & Armstrong (Volume 2) #22 July, 2014",2014
Percy Vale,Percy Vale,,Valiant EntertainmentReal World,Neutral,Male,Church of Retrology,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
Peris,Peris,"391, P, Leader Man",Valiant Entertainment,Good,Male,,,JJ O\u2019ConnorBrian BuccellatoManuel Garcia,"Armorclads #1(March, 2022)",2022
Peter Stanchek,Peter Stanchek,StingPete,Valiant Entertainment,Good,Male,The Renegades,,Jim Shooter (original)David Lapham (original)Joshua Dysart (reboot)Khari Evans (reboot),"Original: Harbinger  #1 (January, 1992)Reboot: Harbinger (Volume 2) #1 (June, 2012)",2012
Doctor Zahn,Phillip Zahn,Gold Leader,Valiant Entertainment,Bad,Male,ArmorinesZahn Enterprises,Rebecca Zahn (ex-wife),Jorge Gonzalez (original)Jim Calafiore (original)Robert Venditti (reboot)Diego Bernard (reboot),"Original: X-O Manowar  #19 (August, 1993)Reboot: X-O Manowar (Volume 3) #30 (November, 2014)",2014
Phoebe Daniels,Phoebe Daniels,,Valiant Entertainment,Neutral,Female,Formerly Psiot Security and Education Program (PSEP),,Vita AyalaKano,"Livewire  #5(April, 2019)",2019
Pig Killer,Unknown,,Valiant Entertainment,Bad,Female,H.A.R.D. CorpsProject Rising Spirit,,Joshua Dysart,"Imperium  #2(March, 2015)",2015
Pink Candy Girl,Pink Candy Girl,,Valiant Entertainment,Bad,Female,Consumer Twins,,Marguerite SauvageMJ Kim,"Faith's Winter Wonderland Special  #1 (December, 2017)",2017
Pinter,Unknown,,Valiant Entertainment,Neutral,Male,VineVine PlantingsVine Planting Liberation Army,,Joshua Dysart,"Imperium  #5(October, 2015)",2015
Pioneer,Unknown,Pioneer,Valiant Entertainment,Neutral,Female,Red Brigade,,Matt KindtTrevor Hairsine,"Divinity III: Stalinverse  #1(December, 2016)",2016
Pippa,Pippa (Last name unknown),Sister Pippa,Valiant Entertainment,Neutral,Female,Mary-Maria,,Rafer RobertsDavid Lafuente,"A&A: The Adventures of Archer & Armstrong #1 (March, 2016)",2016
Point,Unknown,,Valiant Entertainment,Bad,Male,The ChainsawProject Rising Spirit,,Len Kaminski (original)Sal Velluto (original)Duane Swierczynski (reboot)Manuel Garcia (reboot),"Original: Bloodshot (Volume 2) #2 (August, 1997)Reboot: Bloodshot (Volume 3) #5 (November, 2012)",2012
Primary Reebo,Reebo,,Valiant Entertainment,Bad,Male,Armor Hunters,,Robert VendittiDoug Braithwaite,"X-O Manowar (Volume 3) #24(April, 2014)",2014
Pulse,Melissa Krajnac,,Valiant Entertainment,Good,Female,,,Duane SwierczynskiManuel Garcia,"Bloodshot (Volume 3) #2(August, 2012)",2012
Punk Mambo,Victoria Greaves-Trott,,Valiant Entertainment,Good,Female,,,Peter MilliganRoberto de la Torre,"Shadowman (Volume 4) #13(December, 2013)",2013
Widower Q'url,Q'url,,Valiant Entertainment,Bad,Male,Widowers,Vadim (mate),Fred Van LenteRenato Guedes,"Psi-Lords (Volume 2) #2(July, 2019)",2019
Quantum,Eric Percy Henderson,Quantum,Valiant Entertainment,Good,Male,Quantum and WoodyUnited States Military (formerly)Magnum Security (formerly),Millie Henderson (fianc\u00e9e)Woody Henderson (foster brother)Derek Henderson (father)Mrs. Henderson (grandmother),Christopher Priest (original)M.D. Bright (original)James Asmus (reboot)Tom Fowler (reboot),"Original: Quantum and Woody  #1 (June, 1997)Reboot: Quantum and Woody (Volume 2) #1 (July, 2013)",2013
Quartz,Quartz,,Valiant Entertainment,Bad,Male,Armor Hunters,Seven unnamed brothers and sisters (deceased)[1],Robert VendittiDoug Braithwaite,"X-O Manowar (Volume 3) #24(April, 2014)",2014
Queen of Oblivion,Queen of Oblivion,,Valiant Entertainment,Bad,Female,,,Marguerite SauvageMJ Kim,"Faith's Winter Wonderland Special  #1 (December, 2017)",2017
Quiet Man,Quiet Man,,Valiant Entertainment,Good,Male,Bloodshot SquadG.A.T.E.,,Jeff LemireMico Suayan,"Bloodshot Reborn #14 (June, 2016)",2016
Rachel Hopson,Rachel Hopson,,Valiant Entertainment,Bad,Female,Harbinger Foundation,,David Lapham (original)Joshua Dysart (reboot)Khari Evans (reboot),"Original: Harbinger #0 (February, 1993Reboot: Harbinger (Volume 2) #2 (July, 2012)",2012
"Ragad, the Unstoppable","Ragad, the Unstoppable",I-\u00d8: Keeper of the Uncanny Valley,Valiant Entertainment,Neutral,Male,,,Matt KindtTrevor Hairsine,"Eternity  #2 (November, 2017)",2017
Rai II,Unknown,Rai II,Valiant Entertainment,Good,Male,,,Matt KindtCafu,"Rai (Volume 3) #13 (May, 2016)",2016
Rai III,Unknown,Rai III,Valiant Entertainment,Good,Female,,,Matt KindtCafu,"Rai (Volume 3) #14(June, 2016)",2016
Rai IV,Unknown,Rai IV,Valiant Entertainment,Good,Male,,,Matt KindtCafu,"Rai (Volume 3) #14(June, 2016)",2016
Rai VIII,Unknown,Rai VIII,Valiant Entertainment,Good,Male,,,Matt KindtClayton Crain,"Rai (Volume 3) #7 (March, 2015)",2015
Rai,Unknown,Rai X,Valiant Entertainment,Good,Male,,Unnamed mother,Jim Shooter (original)Don Perlin (original)Matt Kindt (reboot)Clayton Crain (reboot),"Original: Magnus, Robot Fighter  #5 (November, 1991)Reboot: Rai (Volume 3) #1 (May, 2014)",2014
Rai XI,Rai XI,X-Eye,Valiant Entertainment,Bad,Male,FatherNew Japan,,Matt KindtClayton Crain,"Rai (Volume 3) #8(April, 2015)",2015
Rai's Mother,Unknown,,Valiant Entertainment,Good,Female,,Rai X (mother),Matt KindtClayton Crain,"Rai (Volume 3) #1 (April, 2014)",2014
Raijin,Osamu,Rai IRaijin,Valiant Entertainment,Good,Male,,,Matt KindtCafu,"Rai (Volume 3) #13(May, 2016)",2016
Ramesses II,Ramesses II,Ramesses the Great,Real WorldValiant Entertainment,Neutral,Male,Egypt,,Fred Van Lente,"Archer & Armstrong (Volume 2) #22 July, 2014",2014
Rampage,Danny (last name unknown),"Rampage, Harmony[1]",Valiant Entertainment,Bad,Male,"Project Omen, Project Rising Spirit",Father \Mother \Pete (brother),Kevin VanHook (original)Norm Breyfogle (original)Jeff Lemire (reboot)Doug Braithwaite (reboot),"Original: Bloodshot  #34 (September, 1995)Reboot: Book of Death: The Fall of Bloodshot  #1 (July, 2015)",2015
Ramsey,Ian (Last name unknown),,Valiant Entertainment,Good,Male,Generation Zero,,Duane SwierczynskiManuel Garcia,"Bloodshot (Volume 3) #9(March, 2013)",2013
Rapier,Unknown,,Valiant Entertainment,Good,Male,Specialized Adventurers Bureau,,Matt KindtCary Nord,"Unity (Volume 2) #20(July, 2015)",2015
Rasa,Rasa (last name unknown),,Valiant Entertainment,Neutral,Female,Generation Zero,,Fred Van LenteDiego Bernard,"Generation Zero  #7(February, 2016)",2016
Ravenrok,Ravenrok,,Valiant Entertainment,Good,Male,Psi-Lords,,Tony Bedard (original)Mike Leeke (original)Fred Van Lente (reboot)Renato Guedes (reboot),"Psi-Lords (Volume 2) #4(September, 2019)",2019
Rawn,Rawn,,Valiant Entertainment,Bad,Male,The Processors,,Matt KindtKenneth Rocafort,"X-O Manowar (Volume 4) #9(November, 2017)",2017
Ray Garrison,Ray Garrison,,Valiant Entertainment,Neutral,Male,,,Kevin GreviouxEliot RahalRags MoralesJohn K. Snyder III,"Bloodshot Rising Spirit  #6(April, 2019)",2019
Rebecca Zahn,Rebecca Zahn,,Valiant Entertainment,Good,Female,ArmorinesZahn Enterprises,Phillip Zahn (ex-husband),Robert VendittiDiego Bernard,"X-O Manowar (Volume 3) #32(January, 2015)",2015
Recon,Unknown,,Valiant Entertainment,Bad,Male,The ChainsawProject Rising Spirit,,Len Kaminski (original)Sal Velluto (original)Duane Swierczynski (reboot)Manuel Garcia (reboot),"Original: Bloodshot (Volume 2) #2 (August, 1997)Reboot: Bloodshot (Volume 3) #5 (November, 2012)",2012
Red Legend,Nina (adopted),Red Legend,Valiant Entertainment,Good,Female,Red Brigade,,Matt KindtTrevor Hairsine,"Divinity III: Stalinverse  #1(December, 2016)",2016
Red Very Good Fox Champion Nice,Red Very Good Fox Champion Nice,R.V.G.F.C.N.FoxyRed,Valiant Entertainment,Neutral,Female,North Korea,,Tim SiedellPere Perez,"Quantum and Woody: Valiant-Sized  #1 (December, 2014)",2014
Reiko,Reiko,,Valiant Entertainment,Good,Male,,Aboto (father)Sai (mother),Matt KindtClayton Crain,"Rai (Volume 3) #11(October, 2015)",2015
Renee Rousseaux,Renee Rousseaux,,Valiant Entertainment,Neutral,Female,Blog of the X-O Man-O-War,,Matt KindtDoug Braithwaite,"Unity (Volume 2) #1(November, 2013)",2013
Rex the Razer,Rex the Razer,,Valiant Entertainment,Good,Male,,,Matt KindtCafu,"Rapture  #1(May, 2017)",2017
Rex-O,Rex-O,,Valiant Entertainment,Bad,Male,The Scavenger,,Jim Shooter (original)David Lapham (original)Eric Heisserer (reboot)Raul Allen (reboot)Patricia Martin (reboot),"Original: Harbinger  #3 (March, 1992)Reboot: Secret Weapons (Volume 2) #1 (June, 2017)",2017
Ritchie Valens,Richard Steven Valenzuela,Ritchie Valens,Real WorldValiant Entertainment,Good,Male,Fameotorium,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
Robert Johnson,Robert Leroy Johnson,,Real WorldValiant Entertainment,Good,Male,,,,"Shadowman/Rae Sremmurd #1(October, 2017)",2017
Roku,Angelina Alcott,Rokurokubi,Valiant Entertainment,Neutral,Female,Shadow SevenWeaponeer,,Matt KindtClay Mann,"Ninjak (Volume 3) #1(March, 2015)",2015
Rolf,Rolf,,Valiant Entertainment,Good,Male,Visigoths,Aric (son)Inga (wife)Alaric (brother),Bob Layton (original)Jorge Gonzalez (original)Joe Quesada (original)Robert Venditti (reboot)Cary Nord (reboot),"Original: X-O Manowar  #0 (August, 1993)Reboot: X-O Manowar (Volume 3) #1 (May, 2012)",2012
Rose,Unknown,,Valiant Entertainment,Neutral,Female,H.A.R.D. CorpsProject Rising Spirit,,Christos GageJoshua Dysart,"Bloodshot and H.A.R.D. Corps: H.A.R.D. Corps  #0(February, 2014)",2014
Rubria,Rubria,,Real WorldValiant Entertainment,Neutral,Female,Vestal Virgins,,Peter MilliganJuan Jose Ryp,"Britannia  #1(September, 2016)",2016
Rutherford Van Chelton,Rutherford Van Chelton,,Valiant Entertainment,Neutral,Male,,Lucy Van Chelton \ (ex-wife)Woody Henderson (son),Daniel KibblesmithKano,"Quantum and Woody (Volume 3) #1 (December, 2017)",2017
Saana of Loam,Saana,,Valiant Entertainment,Good,Female,Visigoths,"Aric of Dacia (husband)Aric II \ (son)Jhukka (daughter, not yet born)",Robert VendittiCary Nord,"X-O Manowar (Volume 3) #12(April, 2013)",2013
Sabbas,Sabbas,,Valiant Entertainment,Good,Male,,,Matt KindtLewis LaRosaTrevor Hairsine,"X-O Manowar (Volume 4) #15(May, 2018)",2018
Sadiq,Sadiq (last name unknown),,Valiant Entertainment,Neutral,Male,Vine PlantingThe Vine,,Robert VendittiLee Garbett,"X-O Manowar (Volume 3) #7(November, 2012)",2012
Sai,Sai,Rai VI,Valiant Entertainment,Good,Female,New Japan,Aboto (lover)Reiko (son),Matt KindtClayton Crain,"Rai (Volume 3) #11(October, 2015)",2015
Samantha,Unknown,Sam,Valiant Entertainment,Good,Female,,Toyo Harada (ex-boyfriend)Simon \ (son),Joshua DysartDiego Yapur,"The Life and Death of Toyo Harada #4 (June, 2019)",2019
Samuel,Unknown,,Valiant Entertainment,Neutral,Male,H.A.R.D. CorpsProject Rising Spirit,,Christos GageJoshua Dysart,"Bloodshot and H.A.R.D. Corps: H.A.R.D. Corps  #0(February, 2014)",2014
Samurai Sue,Samurai Sue,,Valiant Entertainment,Neutral,Female,,,Joshua DysartClayton Henry,"Harbinger (Volume 2) #17(October, 2013)",2013
Sandria Darque,Sandria Darque,Sandy (by her brother only),Valiant Entertainment,Neutral,Female,,Master Darque (twin brother)Marius Boniface (ex-lover)Deceased baby,Bob Hall (original)Justin Jordan (reboot)Roberto de la Torre (reboot)Mico Suayan (reboot)Lewis LaRosa (reboot),"Original: Shadowman  #10 (February, 1993)Reboot: Shadowman (Volume 4) #0 (May, 2013)",2013
Sanguine,Sanguine,,Valiant Entertainment,Bad,Female,Shadow Seven,,Matt KindtClay Mann,"Ninjak (Volume 3) #4 (June, 2015)",2015
Santo,Unknown,,Valiant Entertainment,Bad,Male,H.A.R.D. CorpsProject Rising Spirit,,Joshua Dysart,"Imperium  #5(June, 2015)",2015
Sarnai Oyuunchimeg,Sarnai Oyuunchimeg,,Valiant Entertainment,Neutral,Female,,,Tini HowardAmilcar Pinna,"The Forgotten Queen  #1(February, 2019)",2019
Sasha,Sasha (Last name unknown),,Valiant Entertainment,Good,Female,,,Eric HeissererRaul AllenPatricia Martin,"Secret Weapons (Volume 2) #2(July, 2017)",2017
Saturday,Unknown,Saturday,Valiant Entertainment,Bad,Male,,,Justin JordanPatrick Zircher,"Shadowman (Volume 4) #5(March, 2013)",2013
Saturn,Unknown,,Valiant Entertainment,Bad,Female,EggbreakersHarbinger Foundation,,Duane SwierczynskiJoshua Dysart,"Harbinger Wars  #1 (April, 2013)",2013
Savage,"Kevin Sauvage, Jr.",KJKevKevin Jr.Savage,Valiant Entertainment,Good,Male,,Kevin Sauvage \ (father)Veronica Sauvage \ (mother)Henry Sauvage (brother)One more unnamed sibling,B. Clay MooreClayton HenryLewis LaRosa,"Savage  #1(November, 2016)",2016
Scar,Scar,,Valiant Entertainment,Good,Male,The Azure,Clubb (brother),Matt KindtTomas Giorello,"X-O Manowar (Volume 4) #1(March, 2017)",2017
The Scarred Man,Pete (last name unknown),The Scarred ManMr. Neckburn,Valiant Entertainment,Bad,Male,Project Omen,Father \Mother \Danny (brother),Jeff LemireRenato Guedes,"Bloodshot Reborn  #0(March, 2017)",2017
The Scavenger,Paris Cromwell,The Scavenger,Valiant Entertainment,Bad,Male,,,Eric HeissererRaul AllenPatricia Martin,"Secret Weapons (Volume 2) #2(July, 2017)",2017
Geomancer,Scheherazade,,Valiant Entertainment,Good,Female,Geomancers,,"Fred Van Lente, Emanuela Lupacchino","Archer & Armstrong (Volume 2) #9 (April, 2013)",2013
Schon,Schon,The Armor Bearer,Valiant Entertainment,Good,Female,The Azure,Aric of Urth (love interest),Matt KindtTomas Giorello,"X-O Manowar (Volume 4) #1(March, 2017)",2017
Scion,Steve (last name unknown),,Valiant Entertainment,Bad,Male,Widowers,2 unnamed deceased brothers,Tony Bedard (original)David Ross (original)Fred Van Lente (reboot)Renato Guedes (reboot),"Psi-Lords (Volume 2) #2(July, 2019)",2019
Secretary Allister,Unknown,,Valiant Entertainment,Good,Male,U.S. Government,,Robert VendittiCary Nord,"X-O Manowar (Volume 3) #21(January, 2014)",2014
Sekhmet,Sekhmet,Sakhmet,Real WorldValiant Entertainment,Neutral,Female,,,,"Doctor Mirage #5(December, 2019)",2019
Serena Byrne,Serena Byrne,,Valiant Entertainment,Bad,Female,Psiot Security and Education Program (PSEP)Project OmenU.S. Government,,Vita AyalaKano,"Livewire  #4(March, 2019) (cameo)Livewire  #5(April, 2019) (full)",2019
Serenade,Nora (Last name unknown),,Valiant Entertainment,Good,Female,Generation Zero,,Duane SwierczynskiManuel Garcia,"Bloodshot (Volume 3) #9 (March, 2013)",2013
Sergei,Sergei (last name unknown),,Valiant Entertainment,Bad,Male,MI-6Vine PlantingThe Vine,,Robert VendittiCary Nord,"X-O Manowar (Volume 3) #4(August, 2012)",2012
Shadow,Jillian (Last name unknown),,Valiant Entertainment,Good,Female,Generation Zero,,Duane SwierczynskiJoshua Dysart,"Harbinger Wars  #1(April, 2013)",2013
Shadow Loa 4001,Shadow Loa 4001,Shadow Woman 4001,Valiant Entertainment,Neutral,Female,Shadow Loa,,Jody HouserRafer RobertsRobert Gill,"4001 A.D.: Shadowman #1 (July, 2016)",2016
Shadow Woman,,Shadow Woman,Valiant Entertainment,Good,Female,,,Matt KindtCafu,"Unity (Volume 2) #5(March, 2014)",2014
Shadowman,Jack Boniface,ShadowmanMagpie\u00b7 The Collector\u00b7 The Hollow Man,Valiant Entertainment,Good,Male,Abettors,Marius Boniface \ (Ancestor)Maxim Boniface \ (Great-Grandfather)Helena LeBreton \ (Mother)Josiah Boniface \ (Father),"Original: Jim Shooter, Steve Englehart, David Lapham, Bob LaytonReboot: Justin Jordan, Patrick Zircher","Original: X-O Manowar  #4 (May, 1992)Reboot: Shadowman (Volume 4) #1 (November, 2012)",2012
Shakespeare,Aaron Brillstein,,Valiant Entertainment,Bad,Male,H.A.R.D. Corps,,Jim Shooter (original)David Lapham (original)Duane Swierczynski (reboot)Joshua Dysart (reboot),"Original: Harbinger  #10(October, 1992)Reboot: Harbinger Wars  #3(June, 2013)",2013
Shanhara,Shanhara (last name unknown),Shanhara of Gennin,Valiant Entertainment,Neutral,Female,,,Robert VendittiCafu,"X-O Manowar: Valiant 25th Anniversary Special #1(June, 2015)",2015
Sharpay,Sharpay (Last name unknown),Sister Sharpay,Valiant Entertainment,Neutral,Female,Mary-Maria,,Rafer Roberts,"A&A: The Adventures of Archer & Armstrong #1 (March, 2016)",2016
Sharpshooter,Unknown,,Valiant Entertainment,Bad,Female,Project Rising SpiritThe Specialists,,Christos GageJoshua DysartBart Sears,"Bloodshot and H.A.R.D. Corps  #18 (January, 2014)",2014
She-Squirt,She-Squirt,see Quotes,Valiant EntertainmentThe Squirtverse,Neutral,Female,,Bloodsquirt (Brother),Jeff LemireJay Fabares,"Bloodshot Reborn Annual 2016  #1 (March, 2016)",2016
Sheila Weismann,,,Valiant Entertainment,Neutral,Female,Director QuellZ-Nyth PharmaceuticalsEric Henderson,,,"Quantum and Woody Must Die! #1 (January, 2015)",2015
Sheriff Sherman,Keith Sherman,,Valiant Entertainment,Neutral,Male,Generation Zero,Keisha Sherman (Daughter)Kwame Sherman (Son),Fred Van LenteFrancis Portela,"Generation Zero  #1(August, 2016)",2016
Shuriken,Unknown,ShurikenShuri,Valiant Entertainment,Neutral,Female,,Jonin (father),B. Clay MooreFernando Dagnino,"Killers  #1(July, 2019)",2019
Sidney Pierce,Sidney Pierce,Sydney,Valiant Entertainment,Bad,Female,The FaithlessVine Plantings,,Jody HouserFrancis Portela,"Faith #1(January, 2016)",2016
Silencio,Unknown,,Valiant Entertainment,Good,Female,Shademen,,Matt KindtJose LuisJefte Palo,"Unity (Volume 2) #21(August, 2015)",2015
Silver Lake Slasher,Sgt. Jacob Cubbit,,Valiant Entertainment,Neutral,Male,Project Rising Spirit,,Jeff LemireKano,"Bloodshot Reborn Annual 2016 #1 (March, 2016)",2016
Simon,Simon Harada,,Valiant Entertainment,Neutral,Male,,Toyo Harada (father)Samantha (mother),Joshua DysartDiego Yapur,"The Life and Death of Toyo Harada #5 (July, 2019)",2019
Simon Oreck,Simon Oreck,,Valiant Entertainment,Bad,Male,Project Rising Spirit,,Len Kaminski (original)Sal Velluto (original)Duane Swierczynski (reboot)Manuel Garcia (reboot),"Original: Bloodshot (Volume 2) #1 (July, 1997)Reboot: Bloodshot (Volume 3) #1 (July, 2012)",2012
Singularity,N/A,Shanhara,Valiant Entertainment,Neutral,Nonbinary,,Troy Whitaker (creator)Shanhara (code template),Dennis HallumEmilio Laiso,"X-O Manowar (Volume 5) #5(August, 2021)",2021
Gawain,Sir Gawain,,Real WorldValiant Entertainment,Neutral,Male,Camelot,King Arthur (uncle),Fred Van LenteCary Nord,"Immortal Brothers: The Tale of the Green Knight #1 (April, 2017)",2017
Sir Kwain,Unknown,,Valiant Entertainment,Good,Male,Unity,,Matt Kindt,"Unity (Volume 2) #19(June, 2015)",2015
Percival,Sir Percival,PercevalPercivale,Real WorldValiant Entertainment,Neutral,Male,Camelot,,Fred Van Lente,"Archer & Armstrong (Volume 2) #22 July, 2014",2014
Sister Thomas Aquinas,"Thomas ""Tommy"" Aquinas",Sister Tommy,Valiant Entertainment,Good,Female,,,Fred Van LenteClayton Henry,"Archer & Armstrong (Volume 2) #2 (September, 2012)",2012
Skeleton Pelican,Skeleton Pelican,,Valiant Entertainment,Neutral,Male,,,Joshua DysartClayton Henry,"Harbinger (Volume 2) #17(October, 2013)",2013
Slather,Slather,,Valiant Entertainment,Bad,Male,,,Robert VendittiRaul AllenPatricia Martin,"Wrath of the Eternal Warrior  #1 (November, 2015)",2015
Slim Jxmmi,Aaquil Iben Shamon Brown,Slim JxmmiSlim JimmiJim,Real WorldValiant Entertainment,Good,Male,Rae Sremmurd,Swae Lee (Brother),Eliot RahalRenato Guedes,"Shadowman/Rae Sremmurd #1(October, 2017)",2017
Snowbeard,Unknown,Agent Snowbeard,Valiant Entertainment,Neutral,Male,Project Omen (formerly),,Matt KindtDoug Braithwaite,"Harbinger Wars 2  #0(December, 2017)",2017
Sole Wanderer,Unknown,WandererThe Warrior,Valiant Entertainment,Good,Male,The Vine,,Robert VendittiCary Nord,"X-O Manowar (Volume 3) #11(March, 2013)",2013
Sonya,Sonya (last name unknown),,Valiant Entertainment,Good,Female,,,Eric HeissererAdam Pollina,"Secret Weapons (Volume 2) #0(January, 2018)",2018
